home_team,away_team,match_period,game_week,match_date,match_time,stadium,score_line,total_goals,away_goals,home_goals,referee,min 1-15 goals,min 16-30 goals,min 31-45+ goals,min 46-60 goals,min 61-75 goals,min 76-90+ goals,45+ goals,90+ goals,1st_half goals,2nd_half goals,stoppage_time goals,normal_time goals,min 1-15 home goals,min 1-15 away goals,min 16-30 home goals,min 16-30 away goals,min 31-45+ home goals,min 31-45+ away goals,min 46-60 home goals,min 46-60 away goals,min 61-75 home goals,min 61-75 away goals,min 76-90+ home goals,min 76-90+ away goals,45+ home goals,45+ away goals,90+ home goals,90+ away goals,1st_half home goals,1st_half away goals,2nd_half home goals,2nd_half away goals,stoppage_time home goals,stoppage_time away goals,normal_time home goals,normal_time away goals
West Ham United,Manchester City,standard kick-off,1,7 August 2022,16:30 BST,London Stadium,0–2,2,2,0,Michael Oliver,0,0,1,0,1,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2
Manchester City,Bournemouth,standard kick-off,2,13 August 2022,15:00 BST,Etihad Stadium,4–0,4,0,4,David Coote,0,1,2,0,0,1,0,0,3,1,0,4,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,4,0
Newcastle United,Manchester City,standard kick-off,3,21 August 2022,16:30 BST,St James' Park,3–3,6,3,3,Jarred Gillett,1,1,1,2,1,0,0,0,3,3,0,6,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,2,1,1,2,0,0,3,3
Manchester City,Crystal Palace,standard kick-off,4,27 August 2022,15:00 BST,Etihad Stadium,4–2,6,2,4,Darren England,1,1,0,1,2,1,0,0,2,4,0,6,0,1,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,2,4,0,0,0,4,2
Manchester City,Nottingham Forest,late kick-off,5,31 August 2022,19:30 BST,Etihad Stadium,6–0,6,0,6,Paul Tierney,1,1,1,1,1,1,0,0,3,3,0,6,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,3,0,3,0,0,0,6,0
Aston Villa,Manchester City,standard kick-off,6,3 September 2022,17:30 BST,Villa Park,1–1,2,1,1,Simon Hooper,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Wolverhampton Wanderers,Manchester City,early kick-off,8,17 September 2022,12:30 BST,Molineux,0–3,3,3,0,Anthony Taylor,1,1,0,0,1,0,0,0,2,1,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,3
Manchester City,Manchester United,early kick-off,9,2 October 2022,14:00 BST,Etihad Stadium,6–3,9,3,6,Michael Oliver,1,0,3,1,2,2,0,1,4,5,1,8,1,0,0,0,3,0,0,1,2,0,0,2,0,0,0,1,4,0,2,3,0,1,6,2
Manchester City,Southampton,standard kick-off,10,8 October 2022,15:00 BST,Etihad Stadium,4–0,4,0,4,Andrew Madley,0,1,1,1,1,0,0,0,2,2,0,4,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0
Liverpool,Manchester City,standard kick-off,11,16 October 2022,16:30 BST,Anfield,1–0,1,0,1,Anthony Taylor,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Manchester City,Brighton & Hove Albion,standard kick-off,13,22 October 2022,15:00 BST,Etihad Stadium,3–1,4,1,3,Craig Pawson,0,1,1,1,1,0,0,0,2,2,0,4,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,3,1
